name;url;locationCoordinate;locationCountry;locationRegion;elevationTopM;elevationDifferenceM;totalSlopeLengthKm;numberOfLifts;numberOfSlopes;annualSnowfallCm;id
Crystal Mountain;https://www.crystalmountain.com/;{'lat': '44.5202', 'long': '-85.9928'};USA;Michigan;359.0;114.0;4.9;7.0;3.0;250.0;7732804066
Passy Plaine Joux;https://www.passy-mont-blanc.com/;{'lat': '45.9241', 'long': '6.7496'};France;Haute-Savoie;1740.0;400.0;12.0;7.0;3.0;150.0;6858803306
Skaidi;https://www.skaidialpin.no;{'lat': '70.4950', 'long': '24.7083'};Norway;Troms og Finnmark;290.0;235.0;5.0;2.0;3.0;200.0;7161907019
Presolana;https://www.presolana.family/;{'lat': '45.9181', 'long': '10.1015'};Italy;Lombardy;1368.0;174.0;3.0;5.0;3.0;200.0;7578795273
Hiittenharju;http://www.harjavallanjymy.fi/hiittenharjun-hiihtokeskus;{'lat': '61.2958', 'long': '22.1667'};Finland;Satakunta;72.0;35.0;1.0;2.0;1.0;500.0;8762818189
Uuperin rinteet;https://uuperinrinteet.fi/;{'lat': '60.5939', 'long': '27.045'};Finland;Kymenlaakso;71.0;49.0;2.0;3.0;2.0;50.0;7751639699
Jack Frost Mountain;https://www.jfbb.com/;{'lat': '41.1080', 'long': '-75.5677'};USA;Pennsylvania;610.0;183.0;12.0;8.0;12.0;200.0;9278952511
Tramelan;https://www.teleski-tramelan.ch/;{'lat': '47.2233', 'long': '7.1023'};Switzerland;Bern;1228.0;308.0;14.0;3.0;3.0;150.0;8199494324
Hirvensalo;https://www.hirvensalo.fi/;{'lat': '60.4214', 'long': '22.2474'};Finland;Länsi-Suomen lääni;55.0;50.0;1.5;3.0;1.0;50.0;9203361831
Hundseck;https://www.hundseck.de/;{'lat': '48.6809', 'long': '8.2042'};Germany;Rastatt;1002.0;112.0;2.0;2.0;3.0;80.0;5462966134
Val d'Irène;https://valdi.ski/;{'lat': '48.406164', 'long': '-67.886561'};Canada;Quebec;700.0;274.0;13.0;2.0;13.0;500.0;7461449714
Lauenen;http://skilift-lauenen.ch/;{'lat': '46.4298', 'long': '7.2597'};Switzerland;Canton of Bern;1400.0;160.0;2.0;1.0;2.0;200.0;9621230441
Moose Mountain;http://www.shredthemoose.com;{'lat': '64.9373', 'long': '-147.7221'};USA;Alaska;595.0;388.0;25.0;1.0;25.0;300.0;7012808804
Pine Creek;https://www.pinecreekskiresort.com/;{'lat': '42.0898', 'long': '-110.9649'};USA;Wyoming;2508.0;413.0;16.0;1.0;3.0;300.0;9574774142
Hiroshima Kenmin no Mori;https://www.kenmori.jp/;{'lat': '34.8345', 'long': '132.7581'};Japan;Hiroshima Prefecture;1080.0;250.0;3.0;3.0;3.0;150.0;4388226943
Finse Skisenter;http://www.finseskisenter.no;{'lat': '60.6028', 'long': '7.5038'};Norway;Vestland;1440.0;201.0;2.0;1.0;2.0;300.0;5956862638
Butternut;https://skibutternut.com/;{'lat': '42.1732', 'long': '-73.3274'};USA;Massachusetts;540.0;290.0;22.0;5.0;22.0;180.0;3762254944
Canada Olympic Park;https://www.winsport.ca/;{'lat': '51.0787', 'long': '-114.2155'};Canada;Alberta;1250.0;120.0;4.0;6.0;2.0;150.0;8932064996
Showdown;https://www.showdownmontana.com/;{'lat': '46.8406', 'long': '-110.7000'};USA;Montana;2500.0;410.0;20.0;3.0;3.0;250.0;1637090133
St. Martin im Tennengebirge;https://www.stmartin.info/;{'lat': '47.4550', 'long': '13.3728'};Austria;St. Johann im Pongau;1210.0;255.0;3.0;2.0;3.0;150.0;5814406044
Harper Mountain;http://www.harpermountain.com;{'lat': '50.6445', 'long': '-120.1343'};Canada;British Columbia;1520.0;425.0;20.0;3.0;3.0;300.0;6440403760
Skillevollen;https://skillevollen.no/;{'lat': '66.3235', 'long': '14.1411'};Norway;Nordland;314.0;276.0;2.7;2.0;2.0;200.0;1506316653
Kamui Misaka;http://misaka.kamuisp.com;{'lat': '35.573', 'long': '138.800'};Japan;Yamanashi Prefecture;1060.0;178.0;4.0;4.0;3.0;250.0;9327779833
Steilia;http://www.bardualpin.com/;{'lat': '68.8678', 'long': '18.3330'};Norway;Troms og Finnmark;375.0;289.0;2.7;1.0;2.0;200.0;7179545780
Rossberg;https://www.rossbergoberwil.ch/;{'lat': '46.6297', 'long': '7.4231'};Switzerland;Bern;1464.0;316.0;7.0;2.0;3.0;200.0;2691864493
Canaan Valley;https://www.canaanresort.com/;{'lat': '39.0057', 'long': '-79.4381'};USA;West Virginia;1304.0;259.0;10.0;4.0;10.0;200.0;5245885268
Mont Comi;https://mont-comi.ca/;{'lat': '48.6400', 'long': '-68.2167'};Canada;Quebec;575.0;306.0;14.0;4.0;12.0;450.0;8238349045
Hohwald;https://www.skilift-hohwald.ch/;{'lat': '46.6933', 'long': '7.7741'};Switzerland;Bern;1605.0;314.0;4.0;3.0;3.0;150.0;9711767816
Owani Onsen;http://www.owani-ski.com/;{'lat': '40.5233', 'long': '140.5747'};Japan;Aomori Prefecture;550.0;338.0;10.6;3.0;10.0;300.0;2727001015
Daisen – Masumizu Kogen;https://www.masumizu.net/ski/english.html;{'lat': '35.3725', 'long': '133.5417'};Japan;Tottori Prefecture;865.0;145.0;0.7;1.0;2.0;300.0;7946227901
Kokonniemi;https://www.kokon.fi/;{'lat': '60.3913', 'long': '25.6667'};Finland;Uusimaa;57.0;54.0;2.5;4.0;4.0;50.0;3881762066
Kissing Bridge;https://www.kbski.com/;{'lat': '42.6029', 'long': '-78.6395'};USA;New York;520.0;142.0;18.0;8.0;18.0;250.0;2306176954
Schulenberg Skialpinum;https://www.outdoorwerkstatt.eu/;{'lat': '51.8537', 'long': '10.4733'};Germany;Goslar;645.0;165.0;2.6;2.0;3.0;120.0;7720165086
Kreuzberg;http://www.skilifte-kreuzberg.de/;{'lat': '50.3456', 'long': '10.0458'};Germany;Rhön-Grabfeld;928.0;318.0;13.0;4.0;3.0;100.0;4459071928
Teichalm-Fladnitz;https://www.teichalmlifte.at/;{'lat': '47.3486', 'long': '15.4993'};Austria;Graz-Umgebung;1450.0;250.0;5.6;5.0;7.0;120.0;6290314800
La Poya;https://www.chamonix.com/domaine-station-de-la-poya,48-72357,fr.html;{'lat': '46.0024', 'long': '6.9278'};France;Haute-Savoie;1550.0;200.0;2.0;4.0;2.0;400.0;9722753927
Paljakka;https://paljakka.fi/;{'lat': '64.6247', 'long': '27.6831'};Finland;Kainuu;340.0;169.0;9.0;4.0;8.0;150.0;3964241472
