name;url;locationCoordinate;locationCountry;locationRegion;elevationTopM;elevationDifferenceM;totalSlopeLengthKm;numberOfLifts;numberOfSlopes;annualSnowfallCm;id
Wolfsberglift;https://www.skischule-inzell.de/wolfsberg-skilift-2/;{'lat': '47.8203', 'long': '12.6406'};Germany;Traunstein;770.0;131.0;1.0;1.0;1.0;50.0;8878262863
Vista Ridge;https://www.vistaridge.ab.ca/;{'lat': '57.0728', 'long': '-111.6465'};Canada;Alberta;377.0;122.0;4.0;2.0;3.0;200.0;5484192308
Täsch;https://www.gemeinde-taesch.ch/;{'lat': '46.0729', 'long': '7.7756'};Switzerland;Valais;1500.0;50.0;0.5;1.0;1.0;150.0;9648506742
Schwellbrunn;https://www.skilift-schwellbrunn.ch/;{'lat': '47.3481', 'long': '9.2465'};Switzerland;Appenzell Ausserrhoden;1084.0;62.0;1.0;1.0;1.0;150.0;6070156048
Titcomb Mountain;https://www.titcombmountain.com/;{'lat': '44.6469', 'long': '-70.1553'};USA;Maine;210.0;84.0;4.0;2.0;3.0;200.0;6626855969
Ristolas;https://lequeyras.com/selon-ma-nature/addict-de/ski-alpin-village-station-alpes/domaine-ristolas/;{'lat': '44.7750', 'long': '6.9800'};France;Hautes-Alpes;1648.0;48.0;1.0;2.0;1.0;100.0;5021848630
Milda – Lößnitz;https://www.skiresort.info/ski-resort/loessnitz/;{'lat': '50.5975', 'long': '12.7451'};Germany;Erzgebirgskreis;554.0;99.0;3.0;1.0;3.0;35.0;3475664910
Vedbobacken;https://vedbobacken.se/;{'lat': '59.6099', 'long': '16.5698'};Sweden;Västmanland;74.0;50.0;1.2;3.0;3.0;60.0;5778579498
Mont Fortin;https://montfortin.saguenay.ca/;{'lat': '48.4167', 'long': '-71.167'};Canada;Quebec;123.0;92.0;4.9;4.0;4.0;250.0;4704116918
Drayton Valley – Brazeau;https://www.facebook.com/DVBSC/;{'lat': '53.2254', 'long': '-114.9784'};Canada;Alberta;747.0;50.0;1.5;4.0;3.0;150.0;5728301618
Hansberg;https://www.hansberg.net/;{'lat': '48.5102', 'long': '14.0098'};Austria;Rohrbach;850.0;110.0;1.0;2.0;2.0;100.0;9584860501
Steeplechase;https://www.steeplechaseevents.com/copy-of-snow-tubing;{'lat': '46.7296', 'long': '-94.6859'};USA;Minnesota;340.0;65.0;3.0;5.0;3.0;150.0;9576977126
La Baitina;http://www.labaitina.eu;{'lat': '46.1333', 'long': '8.4833'};Italy;Piedmont;930.0;100.0;1.0;2.0;1.0;200.0;1728292857
Rugiswalde;https://www.skiclub-rugiswalde.de/;{'lat': '50.9971', 'long': '14.2243'};Germany;Sächsische Schweiz-Osterzgebirge;510.0;80.0;0.5;2.0;1.0;70.0;3753597443
Luossabacken;https://kiruna.se/uppleva--gora/utomhusaktiviteter/luossavaarabacken.html;{'lat': '67.8557', 'long': '20.2253'};Sweden;Norrbotten;720.0;156.0;2.5;3.0;3.0;200.0;2654841342
Alpe di Neggia;https://alpedineggia.ch/;{'lat': '46.1000', 'long': '8.7833'};Switzerland;Ticino;1595.0;200.0;1.0;2.0;1.0;150.0;1975259567
Wildmooslift;https://www.berchtesgaden.de/winter/skifahren;{'lat': '47.6090', 'long': '13.1008'};Germany;Berchtesgadener Land;880.0;44.0;0.4;1.0;1.0;100.0;3363487533
Niedernsill;https://www.piesendorf.at/de/winter/ski-board/niedernsiller-lifte/;{'lat': '47.2900', 'long': '12.6442'};Austria;Zell am See;969.0;152.0;1.0;2.0;1.0;150.0;8392584262
Les Fourgs;https://station-lesfourgs.fr/;{'lat': '46.8176', 'long': '6.3662'};France;Doubs;1229.0;179.0;3.0;8.0;3.0;150.0;7337090022
Schwarzenberg – Elstra;https://www.ski-elstra.de/;{'lat': '51.2274', 'long': '14.1735'};Germany;Bautzen;416.0;116.0;1.5;1.0;2.0;50.0;7480636759
Greising;https://www.skilift-greising.de/;{'lat': '48.8511', 'long': '13.0264'};Germany;Deggendorf;800.0;70.0;0.5;1.0;1.0;80.0;9665625279
Snowstar;https://www.skisnowstar.com/;{'lat': '41.4472', 'long': '-90.7310'};USA;Illinois;235.0;55.0;4.0;5.0;3.0;150.0;5239969022
Spring Hill Winter Park;https://www.springhillwinterpark.com/;{'lat': '49.7700', 'long': '-96.8933'};Canada;Manitoba;265.0;45.0;0.8;3.0;1.0;100.0;1771154714
Choei Anpeizan;https://www.town.abira.lg.jp/midokoro/shisetsu/sport/149;{'lat': '42.7881', 'long': '141.8147'};Japan;Hokkaido;160.0;87.0;1.5;1.0;2.0;500.0;7312865529
Bleiche;https://www.facebook.com/skiarenableiche/;{'lat': '48.558', 'long': '9.365'};Germany;Esslingen;575.0;72.0;0.3;1.0;1.0;80.0;4799577239
Astenberg;https://www.skiresort.info/ski-resort/astenberg-wiesing/;{'lat': '47.4386', 'long': '11.7975'};Austria;Schwaz District;745.0;25.0;1.0;1.0;1.0;150.0;2470537552
Terento;https://www.panorama-ski.com/;{'lat': '46.8164', 'long': '11.8133'};Italy;Trentino-Alto Adige/Südtirol;1404.0;169.0;1.0;1.0;1.0;120.0;9633754083
Paloisvuori;https://www.iisalmi.fi/Suomeksi/Palvelut/Kulttuuri,-liikunta-ja-nuoriso/Liikuntapalvelut/Ulkoilualueet-ja--reitit/Paloisvuoren-ulkoilualue/Paloisvuoren-laskettelurinne;{'lat': '63.5596', 'long': '27.1878'};Finland;Pohjois-Savo;140.0;45.0;0.6;1.0;2.0;50.0;8025654480
Lunada;https://www.skiresort.info/ski-resort/lunada/;{'lat': '43.0547', 'long': '-3.6608'};Spain;Castile-Leon;1465.0;215.0;3.0;5.0;3.0;100.0;1833938213
Archamps;https://www.mairie-archamps.fr/;{'lat': '46.1436', 'long': '6.1154'};France;Haute-Savoie;1290.0;120.0;0.8;1.0;1.0;50.0;7974201404
Edmonton Ski Club;https://www.edmontonskiclub.com/;{'lat': '53.5344', 'long': '-113.4800'};Canada;Alberta;660.0;36.0;1.0;3.0;3.0;120.0;4890450535
Val d'Oronaye;https://www.ubaye.com/domaine-skiable-de-larche.html;{'lat': '44.5275', 'long': '6.8081'};France;Alpes-de-Haute-Provence;1900.0;200.0;2.0;4.0;2.0;200.0;2074704781
Bromberg Alm;https://www.bromberg-alm.de/;{'lat': '47.743875', 'long': '11.013362'};Germany;Weilheim-Schongau;933.0;119.0;1.7;2.0;2.0;120.0;7522047208
Fellachlift;https://www.virgen.at/;{'lat': '47.0', 'long': '12.4'};Austria;Lienz;1190.0;80.0;0.6;1.0;1.0;200.0;4525163749
Andes Tower Hills;https://www.andestowerhills.com/;{'lat': '45.8488', 'long': '-95.5603'};USA;Minnesota;494.0;89.0;4.0;4.0;3.0;100.0;9558357529
Zederhaus;https://www.lungau.at/de/erleben/winter/skifahren/weitere-lifte/;{'lat': '47.1200', 'long': '13.5333'};Austria;Tamsweg;1390.0;134.0;1.0;1.0;1.0;400.0;4879214434
Happylift Semmering;https://www.berghofsemmering.at/de/happylift/;{'lat': '47.6366', 'long': '15.8256'};Austria;Neunkirchen;1070.0;60.0;0.3;1.0;1.0;150.0;3585905869
Mäuseberg;https://skiclub-daun.de/;{'lat': '50.1993', 'long': '6.8291'};Germany;Vulkaneifel;550.0;85.0;0.5;1.0;1.0;30.0;3575960310
La Tuque;https://www.ville.latuque.qc.ca/;{'lat': '47.4396', 'long': '-72.7803'};Canada;Quebec;318.0;149.0;6.0;2.0;3.0;200.0;2006194797
Yawgoo Valley;https://www.yawgoo.com/;{'lat': '41.4989', 'long': '-71.5728'};USA;Rhode Island;91.0;56.0;2.0;4.0;3.0;100.0;5969077978
Sayama;https://www.seibu-leisure.co.jp/ski_web/;{'lat': '35.7719', 'long': '139.4556'};Japan;Saitama Prefecture;144.0;32.0;0.3;2.0;1.0;50.0;9997331772
Hirogawara;http://www.hirogawara.com;{'lat': '35.2277', 'long': '135.5828'};Japan;Kyoto Prefecture;617.0;94.0;0.9;1.0;1.0;150.0;8525545204
Kanisbacken;https://kanisbacken.se/;{'lat': '65.6753', 'long': '21.0142'};Sweden;Norrbotten;227.0;154.0;3.0;1.0;3.0;200.0;4211131032
Hundsbach;https://www.skiclub-bischweier1951.de/;{'lat': '48.6333', 'long': '8.3500'};Germany;Rastatt;780.0;80.0;0.5;1.0;1.0;120.0;8081711434
La Côte-aux-Fées;https://sites.google.com/site/skiliftcaf/;{'lat': '46.8560', 'long': '6.5520'};Switzerland;Neuenburg;1080.0;100.0;3.0;1.0;1.0;150.0;2502066763
Schloppach;https://www.turnverein-waldsassen.de/skianlage-schloppach/;{'lat': '49.9991', 'long': '12.3034'};Germany;Tirschenreuth;510.0;60.0;2.0;2.0;2.0;60.0;3078370174
Col du Granier;https://www.stationdugranier.com/;{'lat': '45.4864', 'long': '5.8819'};France;Savoie;1399.0;409.0;2.5;4.0;2.0;200.0;1339825304
Osimo;https://www.comune.osimo.an.it/;{'lat': '43.4861', 'long': '13.4691'};Italy;Marche;350.0;250.0;2.0;1.0;1.0;50.0;1961201367
Markersbach;https://www.raschau-markersbach.de/tourismus-kultur/tourismus/freizeitangebote/?tx_kjowbsadressen_kjowbsadressen%5Bid_adresse%5D=2450&tx_kjowbsadressen_kjowbsadressen%5Bpage%5D=2&tx_kjowbsadressen_kjowbsadressen%5Bstichwort%5D=&tx_kjowbsadressen_kjowbsadr;{'lat': '50.5386', 'long': '12.9568'};Germany;Erzgebirgskreis;626.0;91.0;0.5;1.0;1.0;50.0;5480112114
Am Hainberg;https://www.skiclub-olbernhau.de/;{'lat': '50.6550', 'long': '13.3511'};Germany;Erzgebirgskreis;602.0;96.0;0.5;1.0;1.0;50.0;5591464519
Le Poli;https://domaineskiabledupolixonrupt.jimdo.com/;{'lat': '48.0803', 'long': '6.9700'};France;Vosges (department);965.0;165.0;2.0;2.0;2.0;100.0;3421857023
Genkingen;http://www.skilift-genkingen.de;{'lat': '48.4469', 'long': '9.1519'};Germany;Reutlingen;835.0;90.0;1.3;3.0;3.0;60.0;8518623873
Homberg;https://www.skilift-homberg.ch/;{'lat': '46.7595', 'long': '7.5665'};Switzerland;Canton of Bern;1093.0;153.0;3.0;1.0;1.0;200.0;5981779140
Simas Lifte;https://www.simas-lifte.at/;{'lat': '47.552', 'long': '15.886'};Austria;Neunkirchen, Lower Austria;1207.0;266.0;1.8;1.0;1.0;100.0;6563342046
Ödengrub;https://www.skiclub-schwarzenfeld.de/;{'lat': '49.3270', 'long': '12.1160'};Germany;Schwandorf;512.0;57.0;0.9;2.0;1.0;60.0;1668579732
Hesselbacher Gletscher;https://www.hesselbachergletscher.de/;{'lat': '50.9387', 'long': '8.3622'};Germany;Siegen-Wittgenstein;495.0;86.0;0.8;1.0;2.0;50.0;7072870402
Neuhaus am Rennweg;https://www.facebook.com/skiliftneuhausrwg/;{'lat': '50.5135', 'long': '11.1167'};Germany;Kreis Sonneberg;785.0;40.0;0.3;1.0;1.0;80.0;5908293767
Treisberg-Schmitten;https://www.wscgoldenergrund.de/;{'lat': '50.2674', 'long': '8.4167'};Germany;Hochtaunuskreis;582.0;70.0;1.1;2.0;1.0;50.0;7561847598
Mittlerwengi;https://www.sckaltbrunn.ch/infrastruktur/skilift.html;{'lat': '47.2131', 'long': '9.0036'};Switzerland;St. Gallen;1253.0;100.0;0.4;1.0;1.0;150.0;3844181747
Winterberglifte;https://www.hochschwarzwald.de/Skifahren;{'lat': '48.1329', 'long': '8.2027'};Germany;Schwarzwald-Baar-Kreis;1000.0;100.0;0.8;1.0;1.0;100.0;7142375605
La Cernay Blanche – La Chaux de Gilley;http://www.lachaux25.com/cernay/index.htm;{'lat': '47.0825', 'long': '6.6468'};France;Doubs;1088.0;198.0;1.0;2.0;1.0;120.0;6313176367
Auf der Rose;https://www.oberharz.de/winter/skigebiete-im-harz/altenau-skigebiet-auf-der-rose/;{'lat': '51.7400', 'long': '10.4394'};Germany;Goslar;562.0;42.0;0.5;2.0;1.0;70.0;5880491689
Pando Park;https://cannonsburg.com/;{'lat': '43.0117', 'long': '-85.5666'};USA;Michigan;300.0;40.0;1.3;4.0;3.0;120.0;2907866281
Mount Fairweather;https://atikokan.ca/;{'lat': '48.7575', 'long': '-91.6210'};Canada;Ontario;206.0;106.0;1.6;2.0;3.0;200.0;9120001259
Päätskyvuori;https://www.paaskyvuori.fi/;{'lat': '60.622259', 'long': '22.209559'};Finland;Varsinais-Suomi;60.0;40.0;1.0;2.0;2.0;50.0;2606041047
Schlossberg;https://www.skilift-schlossberg.de/;{'lat': '48.0502', 'long': '8.3331'};Germany;Schwarzwald-Baar-Kreis;970.0;70.0;0.4;1.0;1.0;120.0;3527816121
Oberwaldlifte;https://www.oberwaldlift-faistenau.at/;{'lat': '47.8086', 'long': '13.2029'};Austria;Salzburg-Umgebung;917.0;115.0;1.1;2.0;2.0;150.0;1675120056
Lajoux;https://de.montagnes-du-jura.fr/alle-schneeaktivitaeten/teleski-du-content-lajoux;{'lat': '46.3718', 'long': '5.9682'};France;Jura;1223.0;63.0;1.0;3.0;1.0;200.0;4113004728
Birkholzlift;https://www.lerchenfeld-heinersreuth.de/module/leistungen/leistungen.asp?kategorie_id=16;{'lat': '50.2386', 'long': '11.5892'};Germany;Kulmbach;630.0;80.0;2.0;1.0;2.0;50.0;4069386180
Péra – Trun;https://runalpera.ch/;{'lat': '46.7371', 'long': '8.9935'};Switzerland;Graubünden;1040.0;120.0;1.2;1.0;1.0;150.0;1409277905
Awengen;https://skilift-awengen.jimdofree.com/;{'lat': '48.0198', 'long': '9.7850'};Germany;Biberach;648.0;68.0;0.6;2.0;2.0;50.0;1406701488
Uvbergsbacken;https://www.nskalpin.com/;{'lat': '60.1458', 'long': '15.4203'};Sweden;Dalarna;320.0;120.0;1.2;1.0;1.0;150.0;3093563528
Ski-Club Rhön Fulda – Schwedenschanze;https://www.scr-fulda.de/;{'lat': '50.4715', 'long': '9.8945'};Germany;Fulda;813.0;79.0;0.8;1.0;2.0;50.0;6372126731
Greuth;https://www.skiclub-gerstetten.de/;{'lat': '48.6864', 'long': '10.0371'};Germany;Heidenheim;634.0;63.0;0.5;2.0;2.0;50.0;1756960064
Four Seasons;https://www.fourseasonsgolfandski.com/;{'lat': '43.0076', 'long': '-75.9761'};USA;New York;185.0;25.0;1.0;2.0;2.0;250.0;7310102771
Schieβberg – Crottendorf;https://wintersportverein-crottendorf.de/;{'lat': '50.5042', 'long': '12.9789'};Germany;Erzgebirgskreis;764.0;95.0;1.1;1.0;2.0;100.0;3172375394
Hampy;http://www.hampy.ch/;{'lat': '46.4892', 'long': '7.5563'};Switzerland;Bern;1351.0;62.0;0.3;1.0;1.0;150.0;9988338969
Cioss Prato;https://ciossprato.jimdofree.com/;{'lat': '46.5017', 'long': '8.4992'};Switzerland;Ticino;1610.0;60.0;0.4;2.0;1.0;300.0;5354130702
Täle – Messstetten;https://www.skiverein.de/;{'lat': '48.1890', 'long': '8.9615'};Germany;Zollernalbkreis;931.0;74.0;0.6;1.0;1.0;50.0;3228300128
Misery Mountain;https://www.miserymountain.ca/;{'lat': '56.233333', 'long': '-117.283333'};Canada;Alberta;484.0;147.0;8.0;3.0;8.0;150.0;5521647322
Fischbach (Ummendorf);https://www.svfischbach.de/pages/ski/oeffnungszeiten.php;{'lat': '48.0644', 'long': '9.6671'};Germany;Biberach;650.0;70.0;1.0;1.0;1.0;50.0;3422926276
Zweibrücken;https://der-skiclub.de/;{'lat': '49.2467', 'long': '7.3633'};Germany;Rheinland-Pfalz;376.0;71.0;0.6;1.0;3.0;50.0;5473185458
Elkeringhausen;https://www.skiresort.info/ski-resort/elkeringhausen/;{'lat': '51.1800', 'long': '8.5800'};Germany;Hochsauerlandkreis;630.0;70.0;0.5;1.0;1.0;50.0;4720830841
Erbendorf-Pfaben;https://www.erbendorf.de/wintersport;{'lat': '49.8350', 'long': '12.0430'};Germany;Tirschenreuth;714.0;76.0;0.7;1.0;1.0;50.0;9734061270
Witzberg;https://www.skiresort.info/ski-resort/witzberg-pockau/;{'lat': '50.7254', 'long': '13.2157'};Germany;Mittelsachsen;480.0;70.0;0.4;1.0;1.0;50.0;6879455614
Spruce Mountain;https://sprucemountainmaine.wordpress.com/;{'lat': '44.5176', 'long': '-70.2076'};USA;Maine;183.0;76.0;2.4;3.0;3.0;200.0;9668858097
Foncine le Haut;https://www.jura-foncine.com/;{'lat': '46.6242', 'long': '6.0431'};France;Jura;1033.0;125.0;1.5;3.0;3.0;200.0;6788936097
Siebenseelift;https://www.steiermark.com/de/reiseplanung/sommer/wildalpen_p659706;{'lat': '47.6833', 'long': '14.8667'};Austria;Bruck-Mürzzuschlag;840.0;170.0;1.5;2.0;1.0;120.0;2403414958
Ochsenkamp;https://www.hotel-kleins-wiese.de/freizeit/wintersport/;{'lat': '51.1689', 'long': '8.2908'};Germany;Hochsauerlandkreis;700.0;80.0;0.5;1.0;1.0;40.0;1787954718
Mont Apic;https://montapic.com/;{'lat': '46.2251', 'long': '-71.5965'};Canada;Quebec;325.0;95.0;5.0;3.0;5.0;200.0;4908023092
Idealhanglift Niederdorf;http://www.alpen-echo.de/hauseigener-skilift.html;{'lat': '47.4559', 'long': '10.2264'};Germany;Oberallgäu;850.0;21.0;0.2;1.0;1.0;80.0;6983916635
Hochplett;https://www.skilifte-oberaschau.at/;{'lat': '47.9104', 'long': '13.4728'};Austria;Bezirk Vöcklabruck;759.0;109.0;1.0;3.0;3.0;150.0;8875304330
Christseifen;http://www.tsv-aue-wingeshausen.de/index.php/ski-ab-auf-die-bretter/news;{'lat': '51.0366', 'long': '8.3493'};Germany;Siegen-Wittgenstein;565.0;47.0;0.3;1.0;1.0;60.0;8290250065
Wehrhalden;https://www.schwarzwald-tourismus.info/attraktionen/skilift-wehrhalden-59c8cef4c8;{'lat': '47.717222', 'long': '8.006389'};Germany;Waldshut;1000.0;50.0;0.3;1.0;1.0;150.0;6963319891
Liebenau;https://www.wintersportarena-liebenau.at/wsa/;{'lat': '48.5341', 'long': '14.7746'};Austria;Bezirk Freistadt;1004.0;64.0;1.0;2.0;1.0;100.0;8138982583
Loisinord;https://www.bethunebruay.fr/loisinord;{'lat': '50.4845', 'long': '2.6697'};France;Pas-de-Calais;114.0;70.0;0.5;1.0;3.0;0.0;9801274804
Johnsbach;https://www.steiermark.com/de/Gesaeuse/Urlaub-planen/Ausflugsziele/Baerenseitenlift-Johnsbach_isd_276990;{'lat': '47.5533', 'long': '14.5964'};Austria;Liezen;1005.0;135.0;1.0;1.0;1.0;150.0;7217552877
Puijon;https://kuopioskiclub.com/;{'lat': '62.8924', 'long': '27.6416'};Finland;Pohjois-Savo;236.0;96.0;0.4;1.0;1.0;130.0;6572851499
Schlossberg – Haderlsdorf;https://beratzhausen.com/freizeit-kultur;{'lat': '49.1085', 'long': '11.8519'};Germany;Regensburg;532.0;60.0;0.3;1.0;1.0;50.0;6555339182
Dossenheim;http://www.skiclubdossenheim.com/;{'lat': '49.4472', 'long': '8.6670'};Germany;Rhein-Neckar-Kreis;464.0;59.0;0.3;1.0;1.0;50.0;5460341286
Mühlegglift;https://www.skiresort.info/ski-resort/muehlegglift-hopfgarten-in-defereggen/;{'lat': '46.9083', 'long': '12.3886'};Austria;Lienz;1155.0;58.0;0.5;1.0;1.0;200.0;5880516363
Kirchberg Oberweissbach;https://www.oberweissbach.de/oberweissbacherleben/imwinter/?dsid=161D7CBBA47;{'lat': '50.5889', 'long': '11.1511'};Germany;Saalfeld-Rudolstadt;784.0;44.0;0.6;2.0;1.0;50.0;8734477307
Kornberg;https://www.skiresort.info/ski-resort/kornberg/;{'lat': '50.1734', 'long': '11.9253'};Germany;Hof;825.0;117.0;1.5;2.0;1.0;120.0;3745007177
Chausuyama Kogen;https://www.chausuyama.jp/;{'lat': '35.1833', 'long': '137.6717'};Japan;Aichi Prefecture;1360.0;135.0;2.6;2.0;3.0;150.0;8276246418
Bromskirchen;http://www.skiclub-bromskirchen.de/;{'lat': '51.1209', 'long': '8.7036'};Germany;Waldeck-Frankenberg;580.0;41.0;0.3;1.0;1.0;60.0;9757113334
Emmet – Usseln;https://www.skilift-emmet.de/;{'lat': '51.2697', 'long': '8.6848'};Germany;Waldeck-Frankenberg;690.0;40.0;0.5;2.0;1.0;50.0;3446324897
Northeast Slopes;https://northeastslopes.org/;{'lat': '44.1314', 'long': '-72.2468'};USA;Vermont;355.0;103.0;2.2;3.0;3.0;250.0;5266389490
Rödebybacken;https://www.rodebybacken.se/;{'lat': '56.2591', 'long': '15.5910'};Sweden;Blekinge;80.0;38.0;0.3;2.0;1.0;50.0;1285590789
Ardez;https://www.engadin.com/de/ponylift-ardez-0;{'lat': '46.7747', 'long': '10.2019'};Switzerland;Graubünden;1526.0;50.0;0.3;1.0;1.0;250.0;1485586935
Moosberglift;https://www.sv-weissenbach.at/wintersport;{'lat': '47.4500', 'long': '10.6667'};Austria;Reutte;1030.0;125.0;0.7;1.0;1.0;150.0;1351989173
Big Bam;https://www.skiresort.info/ski-resort/big-bam-taylor/;{'lat': '56.1500', 'long': '-120.6789'};Canada;British Columbia;469.0;55.0;0.6;1.0;1.0;250.0;1619485358
Neuhausen ob Eck;https://www.skilift-neuhausen.de/;{'lat': '47.9803', 'long': '8.9545'};Germany;Tuttlingen;750.0;50.0;0.4;1.0;1.0;50.0;3460849376
Großerlach;https://www.grosserlach.de/de/freizeit-kultur/winter-erleben/skilift;{'lat': '49.0253', 'long': '9.5287'};Germany;Rems-Murr-Kreis;548.0;60.0;1.1;1.0;1.0;40.0;1426593987
Asbybacken;http://www.asbyalpina.com;{'lat': '58.058889', 'long': '15.258333'};Sweden;Östergötland;225.0;75.0;1.2;2.0;3.0;150.0;7556831459
Victor Constant;https://westpoint.armymwr.com/programs/victor-constant-ski-area;{'lat': '41.3695', 'long': '-73.9636'};USA;New York;295.0;155.0;3.5;2.0;3.0;100.0;7585055135
Bäretswil;https://www.skiliftbaeretswil.ch/;{'lat': '47.3381', 'long': '8.8576'};Switzerland;Zürich;835.0;110.0;1.0;3.0;1.0;150.0;2814468126
Les Loges;https://teleski-des-loges.business.site/;{'lat': '47.0503', 'long': '6.8874'};Switzerland;Canton of Neuchâtel;1260.0;25.0;1.0;2.0;1.0;100.0;3736173580
Beerfelden;https://www.skilift-beerfelden.de/;{'lat': '49.5667', 'long': '8.9667'};Germany;Odenwaldkreis;520.0;90.0;0.5;1.0;1.0;50.0;2061573341
Beauce;https://www.clubskibeauce.com/;{'lat': '46.3749', 'long': '-71.0076'};Canada;Quebec;212.0;60.0;3.0;2.0;3.0;250.0;7317795098
Schwarzhorn;https://www.tsgv-waldstetten-skiteam.de/skilift;{'lat': '48.7928', 'long': '9.8442'};Germany;Ostalbkreis;596.0;30.0;0.3;2.0;1.0;50.0;3795382449
Kaiserlindenlift;https://www.landl.at/tourismus-freizeit-kultur/sport-freizeit/kaiserlindenlift-gams.html;{'lat': '47.5833', 'long': '14.8167'};Austria;Liezen;650.0;120.0;0.8;1.0;1.0;150.0;1533797347
Rossbachlift;http://sc-nassereith.at/;{'lat': '47.2950', 'long': '10.8333'};Austria;Imst;1030.0;120.0;0.5;1.0;1.0;150.0;4252180036
Monte Voggo;https://www.skiundalm.de;{'lat': '49.2768', 'long': '11.4596'};Germany;Neumarkt in der Oberpfalz;560.0;46.0;0.4;1.0;1.0;50.0;8326105074
Little Ski Hill;https://payettelakesskiclub.org/little-ski-hill/;{'lat': '44.9333', 'long': '-116.1167'};USA;Idaho;1700.0;120.0;1.4;1.0;1.0;200.0;2784839408
Shizuokashi Riverwell Ikawa;https://honyaku.j-server.com/LUCZUOKAI/ns/tl.cgi/https://www.city.shizuoka.lg.jp/p000207.html;{'lat': '35.0232', 'long': '138.3831'};Japan;Shizuoka Prefecture;1441.0;29.0;0.3;2.0;1.0;150.0;2910997811
Wirtsberg;https://wirtsberg.de/;{'lat': '48.7997', 'long': '9.9366'};Germany;Ostalbkreis;690.0;40.0;0.2;1.0;1.0;50.0;9252008397
Vilstabacken;https://www.tunaforsslalom.se/Vilstabacken/;{'lat': '59.3667', 'long': '16.5167'};Sweden;Södermanland;50.0;23.0;0.4;2.0;2.0;50.0;4732833309
Am Ried;https://www.farchant.de/erleben/winter/skifahren;{'lat': '47.5214', 'long': '11.1200'};Germany;Garmisch-Partenkirchen;772.0;102.0;0.6;1.0;1.0;100.0;5573306320
Alice Hill Park;https://www.skiresort.info/ski-resort/alice-hill-park-pembroke/;{'lat': '45.8167', 'long': '-77.1167'};Canada;Ontario;210.0;60.0;1.5;2.0;2.0;200.0;2461330532
Böttingen;https://www.skilift-boettingen.de;{'lat': '48.0800', 'long': '8.8461'};Germany;Tuttlingen;966.0;63.0;1.0;1.0;1.0;50.0;2932372242
Rocking Horse Ranch;https://www.rockinghorseranch.com/;{'lat': '41.6794', 'long': '-74.0804'};USA;New York;214.0;42.0;0.3;1.0;1.0;100.0;9856175668
Schleißberg – Gickelsberg;https://www.ohorn-sachsen.de/ski-lift.html;{'lat': '51.1467', 'long': '14.0823'};Germany;Bautzen;410.0;40.0;0.2;1.0;1.0;50.0;7956933958
Römerlift Buchenberg;https://www.skiresort.info/ski-resort/roemerlift-buchenberg/;{'lat': '47.6711', 'long': '10.3206'};Germany;Oberallgäu;960.0;60.0;0.4;1.0;1.0;80.0;9376664267
Detroit Mountain;https://detroitmountain.com/;{'lat': '46.8783', 'long': '-95.8464'};USA;Minnesota;490.0;50.0;2.0;2.0;2.0;120.0;9779838472
Gschwend;https://www.tsf-gschwend.de/index.php/aktuelles-ski;{'lat': '48.892', 'long': '9.802'};Germany;Ostalbkreis;560.0;70.0;1.1;2.0;3.0;50.0;3468673110
Nods;https://www.teleskinods.ch/;{'lat': '47.1140', 'long': '7.0830'};Switzerland;Bern;1025.0;75.0;2.0;3.0;3.0;120.0;3824121177
Pfulb;https://www.pfulb.com/;{'lat': '48.5441', 'long': '9.4675'};Germany;Esslingen;767.0;52.0;1.0;3.0;3.0;50.0;2521158927
Sörbybacken;https://sorbybacken.se/;{'lat': '59.2725', 'long': '15.2134'};Sweden;Örebro;60.0;30.0;0.2;1.0;1.0;50.0;6831268112
Lechbruck am See;https://www.lechbruck.de/wintersport.html;{'lat': '47.6810', 'long': '10.7893'};Germany;Ostallgäu;770.0;30.0;0.4;1.0;1.0;50.0;4740179979
Jonsdorf;https://www.jonsdorf.de/winterzauber/skiwelt/;{'lat': '50.8514', 'long': '14.6815'};Germany;Görlitz;653.0;33.0;0.0;1.0;1.0;50.0;9879612212
Wissen;https://www.ski-club-wissen.de/;{'lat': '50.7811', 'long': '7.7421'};Germany;Altenkirchen;267.0;57.0;1.0;1.0;1.0;30.0;2724480601
Dickeloch;http://www.wsv-winterlingen.de/index.php/home;{'lat': '48.1884', 'long': '9.0881'};Germany;Zollernalbkreis;765.0;48.0;0.6;1.0;1.0;40.0;5083730387
Wodantal;https://landhaus-siebe.de/;{'lat': '51.3926', 'long': '7.2056'};Germany;Ennepe-Ruhr-Kreis;205.0;25.0;0.3;1.0;1.0;50.0;6543081808
Scherbauerwiese;https://svradegund.info/ski/;{'lat': '47.2047', 'long': '15.5421'};Austria;Graz-Umgebung;778.0;11.0;0.2;1.0;1.0;60.0;8330863189
Les Égaux;https://www.sainthugueslesegaux.com/;{'lat': '45.3283', 'long': '5.8217'};France;Isère;1080.0;129.0;1.5;4.0;2.0;100.0;4457339706
Elko Snobowl;https://www.facebook.com/SnoBowl/;{'lat': '40.8720', 'long': '-115.7850'};USA;Nevada;2130.0;198.0;3.0;2.0;3.0;150.0;6281308044
Holthausen;https://www.skiresort.info/ski-resort/holthausen-schmallenberg/;{'lat': '51.1500', 'long': '8.2833'};Germany;Hochsauerlandkreis;523.0;20.0;0.2;1.0;1.0;50.0;9378220175
